Timestamp,still01-bf-pid.DV01-LIT4003-level => (Aggregate=TimeAverage2),still01-bf-pid.CV01-plp4000a.cmdspd-hz => (Aggregate=TimeAverage2),still01-bf-pid.SP-pmp4000a.sp-% => (Aggregate=TimeAverage2),still01-bf-pid.PV01-fit4008.volumeflow => (Aggregate=TimeAverage2)
7/14/2025 4:35:59 PM,88.7960690652,42.114504,70.55,83.39877374
7/14/2025 4:36:04 PM,88.845189664,42.118168,70.55,83.27702475
7/14/2025 4:36:09 PM,88.85252,42.072664,70.55,82.7403768
7/14/2025 4:36:14 PM,88.9524112864,42.000626,70.55,82.382439388
7/14/2025 4:36:19 PM,88.956856,42.016122,70.55,81.987115724
7/14/2025 4:36:24 PM,88.989096144,42.017044,70.55,82.0603043688
7/14/2025 4:36:29 PM,88.99058,42.070848,70.55,82.523527048
7/14/2025 4:36:34 PM,89.063852436,42.04792,70.55,82.66340585
7/14/2025 4:36:39 PM,89.157887992,41.98213,70.55,83.3348804304
7/14/2025 4:36:44 PM,89.22208,41.97576,70.55,83.6074399552
7/14/2025 4:36:49 PM,89.2395535,41.996336,70.55,83.172825216
7/14/2025 4:36:54 PM,89.27158,42.070026,70.55,83.386014059
7/14/2025 4:36:59 PM,89.27158,42.001292,70.55,83.3707696802
7/14/2025 4:37:04 PM,89.27158,41.993722,70.55,83.438037938
7/14/2025 4:37:09 PM,89.27158,42.023726,70.55,83.6790978732
7/14/2025 4:37:14 PM,89.27158,42.07618,70.55,83.842512948
7/14/2025 4:37:19 PM,89.27158,42.109672,70.55,82.98907449
7/14/2025 4:37:24 PM,89.153721943,42.218218,70.55,82.1198064288
7/14/2025 4:37:29 PM,89.147545,42.206,70.55,82.36563597
7/14/2025 4:37:34 PM,89.074712622,42.27943,70.55,82.8214684544
7/14/2025 4:37:39 PM,89.08967946,42.352828,70.55,82.92581052
7/14/2025 4:37:44 PM,88.976159592,42.356548,70.55,83.329365476
7/14/2025 4:37:49 PM,88.91060277,42.31966,70.55,83.59134267
7/14/2025 4:37:54 PM,88.872916968,42.258904,70.55,82.81911024
7/14/2025 4:37:59 PM,88.87192,42.377552,70.55,82.611147644
7/14/2025 4:38:04 PM,88.88197291,42.39551,70.55,82.927851788
7/14/2025 4:38:09 PM,88.94087,42.28757,70.55,83.406676328
7/14/2025 4:38:14 PM,88.94087,42.484208,70.55,83.38671937
7/14/2025 4:38:19 PM,88.94087,42.470944,70.55,83.607204088
7/14/2025 4:38:24 PM,88.94087,42.426704,70.55,83.0266648
7/14/2025 4:38:29 PM,88.94087,42.424658,70.55,83.461201742
7/14/2025 4:38:34 PM,88.925738714,42.312854,70.55,83.539956852
7/14/2025 4:38:39 PM,88.83476,42.288472,70.55,83.110538608
7/14/2025 4:38:44 PM,88.83476,42.22629,70.55,82.393627948
7/14/2025 4:38:49 PM,88.83476,42.34521,70.55,83.910760144
7/14/2025 4:38:54 PM,88.83476,42.324754,70.55,83.6587753472
7/14/2025 4:38:59 PM,88.83476,42.382528,70.55,83.1344620556
7/14/2025 4:39:04 PM,88.83476,42.333942,70.55,83.685074315
7/14/2025 4:39:09 PM,88.83476,42.312094,70.55,83.927084752
7/14/2025 4:39:14 PM,88.83476,42.233082,70.55,83.9213051564
7/14/2025 4:39:19 PM,88.83476,42.223264,70.55,83.2072604172
7/14/2025 4:39:24 PM,88.83476,42.28946,70.55,83.228001882
7/14/2025 4:39:29 PM,88.83476,42.26238,70.55,83.511785414
7/14/2025 4:39:34 PM,88.83476,42.307954,70.55,82.8708446
7/14/2025 4:39:39 PM,88.83476,42.20356,70.55,82.606793146
7/14/2025 4:39:44 PM,88.83476,42.079388,70.55,82.593122012
7/14/2025 4:39:49 PM,88.63931372,41.969304,70.55,83.457896636
7/14/2025 4:39:54 PM,88.561485,41.999022,70.55,82.854175952
7/14/2025 4:39:59 PM,88.561485,42.142706,70.55,82.83601151
7/14/2025 4:40:04 PM,88.561485,42.189032,70.55,83.4784945
7/14/2025 4:40:09 PM,88.561485,42.251184,70.55,83.080836144
7/14/2025 4:40:14 PM,88.561485,42.227528,70.55,83.040020198
7/14/2025 4:40:19 PM,88.561485,42.30548,70.55,83.24204185
7/14/2025 4:40:24 PM,88.561485,42.345132,70.55,82.216025702
7/14/2025 4:40:29 PM,88.561485,42.303466,70.55,82.123528856
7/14/2025 4:40:34 PM,88.561485,42.441672,70.55,82.847276456
7/14/2025 4:40:39 PM,88.561485,42.41854,70.55,82.71161952
7/14/2025 4:40:44 PM,88.561485,42.121828,70.55,82.899302484
7/14/2025 4:40:49 PM,88.561485,42.095462,70.55,82.864880984
7/14/2025 4:40:54 PM,88.561485,42.08764,70.55,82.30295152
7/14/2025 4:40:59 PM,88.561485,42.20348,70.55,82.6098149784
7/14/2025 4:41:04 PM,88.561485,42.279704,70.55,83.8149161792
7/14/2025 4:41:09 PM,88.561485,42.278352,70.55,83.180576672
